movieId,movieName,Year,Actors,Directors
76325,My Scientology Movie,2015.0,,
76336,Blackhat,2015.0,"Chris Hemsworth, Viola Davis, Tang Wei",Michael Mann
76339,Hereafter,2010.0,,
76356,The Parent Trap,1998.0,"Lindsay Lohan, Dennis Quaid, Natasha Richardson",Nancy Meyers
76365,Anna and the King,1999.0,,
76391,Beware! The Blob,1972.0,,
76481,The Exorcist ,,,
76483,Brave,2012.0,,
76488,The Royal Scandal,,,
76508,Chloe,2009.0,"Julianne Moore, Amanda Seyfried, Liam Neeson",Atom Egoyan
76512,Mississippi Damned,2009.0,,
76519,Cloverfield,2008.0,,
76524,Okja,,,
76530,Killers,2010.0,,
76620,The Shaggy Dog,1959.0,,
76627,No Good Deed,2014.0,"Taraji P. Henson, Idris Elba, Leslie Bibb",Sam Miller
76636,Double Impact,1991.0,,
76639,First Kill,2017.0,"Sarah Catherine Hook, Imani Lewis, Elizabeth Mitchell",N/A
76658,Torque,2004.0,,
76660,Batman: Revenge,2003.0,,
76706,The Incredible Hulk,2008.0,,
76724,Red Lines,2014.0,"Doug Bradley, Kirsty Levett, Leone Hanman",Frazer Lee
76746,All the Pretty Horses,2000.0,,
76757,Pinocchio,1940.0,,
76772,Ouija,2015.0,"Olivia Cooke, Ana Coto, Daren Kagasoff",Stiles White
76781,White Men Can't Jump,1992.0,,
76802,Contagion,2011.0,"Matt Damon, Kate Winslet, Jude Law",Steven Soderbergh
76825,Death of a Ghost Hunter,2007.0,,
76829,The Sweetest Thing,2002.0,,
76845,Good Burger,,,
76847,Police Story 2,2007.0,,
76849,Veronica Mars,2014.0,,
76861,Project Almanac,2015.0,,
76887,One Piece Film: Strong World,2009.0,,
76935,First Sunday,2008.0,"Ice Cube, Katt Williams, Tracy Morgan",David E. Talbert
76940,Harry Potter and the Goblet of Fire,2005.0,,
77043,Uptown Saturday Night,1974.0,,
77045,Christmas in Love,2004.0,"Brooke D'Orsay, Daniel Lissing, Mary-Margaret Humes",Don McBrearty
77066,Identity,2003.0,,
77115,Jack Reacher,2012.0,,
77128,Insidious ,,,
77136,Not Fade Away,2012.0,"John Magaro, Jack Huston, Will Brill",David Chase
77140,The Living Daylights,1987.0,"Timothy Dalton, Maryam d'Abo, Jeroen Krabbé",John Glen
77141,The Lovely Bones,2009.0,,
77154,Flypaper,2011.0,,
77161,A Nightmare on Elm Street,1984.0,,
77176,Straight to Hell,1987.0,,
77190,Lethal Weapon 4,1998.0,,
77195,Bee Movie,2007.0,,
77216,Beethoven's 2nd,1993.0,"Charles Grodin, Bonnie Hunt, Nicholle Tom",Rod Daniel
77253,They Look Like People,2015.0,"MacLeod Andrews, Evan Dumouchel, Margaret Ying Drake",Perry Blackshear
77267,Fighter in the Wind,2004.0,,
77293,A Wrinkle in Time ,,,
77306,Oklahoma,1979.0,N/A,James Benning
77330,Cleopatra,1970.0,"Elizabeth Taylor, Richard Burton, Rex Harrison","Joseph L. Mankiewicz, Rouben Mamoulian"
77352,Harold and Maude,1971.0,,
77358,Black Beauty,1994.0,"Sean Bean, David Thewlis, Docs Keepin Time",Caroline Thompson
77363,Encino Man,1992.0,"Sean Astin, Brendan Fraser, Pauly Shore",Les Mayfield
77376,Full Metal Jacket,1987.0,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",Stanley Kubrick
77384,American Pie Presents: Band Camp,,"Eugene Levy, Tad Hilgenbrink, Arielle Kebbel, Jason Earles",Steve Rash
77388,Shade,2003.0,,
77415,How the West Was Won,1962.0,"James Stewart, John Wayne, Gregory Peck","John Ford, Henry Hathaway, George Marshall"
77455,Citizen Kane,1941.0,,
77478,Yes,2004.0,,
77485,Contract,2008.0,,
77521,Triangle,2009.0,"Melissa George, Joshua McIvor, Jack Taylor",Christopher Smith
77542,Contact,1997.0,"Jodie Foster, Matthew McConaughey, Tom Skerritt",Robert Zemeckis
77552,"We, the Women",1953.0,,
77576,The Librarians,2001.0,,
77597,Along Came Polly,,,
77609,17 Again,2009.0,,
77610,Sky High,2003.0,,
77627,Abraham Lincoln: Vampire Hunter,2012.0,"Benjamin Walker, Rufus Sewell, Dominic Cooper",Timur Bekmambetov
77628,Leprechaun,1993.0,,
77636,Fred,2014.0,"Lucas Cruikshank, Saoirse Ronan, Kelly Landry",N/A
77651,Peter Pan,2003.0,,
77666,The World's End,2013.0,,
77670,Star Trek Into Darkness,2013.0,"Chris Pine, Zachary Quinto, Zoe Saldana",J.J. Abrams
77684,Indiana Jones and the Last Crusade,1989.0,"Harrison Ford, Sean Connery, Alison Doody",Steven Spielberg
77693,Wolf Creek,2005.0,"Nathan Phillips, Cassandra Magrath, Kestie Morassi",Greg McLean
77696,The Heist,2008.0,"Pierce Brosnan, Tom Skerritt, Wendy Hughes",Stuart Orme
77697,White House Down,2013.0,,
77707,WALL-E,2008.0,,
77737,The Humanoid,1979.0,"Richard Kiel, Corinne Cléry, Leonard Mann","Aldo Lado, Enzo G. Castellari"
77747,National Treasure ,,,
77785,Ring 2,1999.0,,
77788,Clerks,1994.0,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti",Kevin Smith
77793,Prom Night,1980.0,"Brittany Snow, Scott Porter, Jessica Stroup",Nelson McCormick
77798,A Perfect Murder,1998.0,,
77806,Stuck on You,2003.0,,
77818,Live Free or Die,2006.0,,
77866,In Good Company,2004.0,,
77867,The Ring,2017.0,,
77868,The Expendables ,,,
77888,Four Sisters and a Wedding,2013.0,,
77894,Cars 3,2009.0,,
77898,Spy Game,2001.0,,
77905,Fatal Bond,1992.0,"Linda Blair, Jerome Ehlers, Donal Gibson",Vincent Monton
77910,Strange Wilderness,2008.0,"Steve Zahn, Allen Covert, Justin Long",Fred Wolf
77918,War Room,2015.0,,
77925,Ong-Bak: Muay Thai Warrior,2003.0,,
77945,Akira,1988.0,,
77946,A Low Down Dirty Shame,1994.0,,
77983,Black Mass,2015.0,,
77986,The First Power,1990.0,"Lou Diamond Phillips, Tracy Griffith, Jeff Kober",Robert Resnikoff
78010,Death Wish,1974.0,,
78019,Kagemusha,1980.0,,
78035,The Double Life of Veronique,1991.0,,
78058,Wish I Was Here,2014.0,"Zach Braff, Joey King, Pierce Gagnon",Zach Braff
78062,Robin Hood,1991.0,,
78076,Ed Wood,1994.0,,
78099,Wood Love,1925.0,,
78108,Enemy,2015.0,,
78132,Joe Dirt 2: Beautiful Loser,2015.0,,
78154,Chiko,2008.0,,
78168,Willy Wonka & the Chocolate Factory,1971.0,,
78172,The Terminal,2004.0,,
78186,Scary Movie,2000.0,,
78201,Texas Chainsaw 3D,2013.0,,
78207,Run Fatboy Run,2007.0,,
78233,The Producers,2005.0,,
78241,Halloweentown ,,,
78267,The Room,2003.0,,
78326,Billy Elliot,2000.0,,
78340,Deadpool,2016.0,,
78343,The Ghost and the Darkness,1996.0,,
78352,Burglar,1987.0,,
78354,Soylent Green,1973.0,,
78361,Holy Water,2009.0,"Matthew Dressel, David Favenyesi, Michael Harthen","Matthew Dressel, Michael Harthen, Jil Szewski"
78373,Percy Jackson ,,,
78399,Houseful,2009.0,"Prasenjit Chatterjee, Rimjhim Gupta, Sreelekha Mitra",Bappaditya Bandopadhyay
78418,The Avengers,2012.0,"Robert Downey Jr., Chris Evans, Scarlett Johansson",Joss Whedon
78426,Twisted,2004.0,,
78436,Battlefield Earth,2000.0,"John Travolta, Forest Whitaker, Barry Pepper",Roger Christian
78445,Valentine,2001.0,,
78453,Paprika,2006.0,,
78475,Kingdom of Heaven,2005.0,,
78479,Murder in the First,1995.0,,
78480,The Green Mile,1999.0,,
78491,Over the Top,1987.0,,
78504,Superman II,1980.0,,
78510,The Slammin' Salmon,2009.0,"Michael Clarke Duncan, Jay Chandrasekhar, Kevin Heffernan",Kevin Heffernan
78531,The Return of the Pink Panther,1975.0,,
78559,Much Ado About Nothing,1993.0,"Kenneth Branagh, Emma Thompson, Keanu Reeves",Kenneth Branagh
78562,A Time to Kill,1996.0,,
78566,The Incredible Invasion,1971.0,,
78634,The Host,2013.0,,
78639,Criminal,2016.0,"Kevin Costner, Ryan Reynolds, Gal Gadot",Ariel Vromen
78644,Taxi,2004.0,,
78664,Zeitgeist,2007.0,,
78665,Resolution,2012.0,"Peter Cilella, Vinny Curran, Emily Montague","Justin Benson, Aaron Moorhead"
78670,They Live,1988.0,"Roddy Piper, Keith David, Meg Foster",John Carpenter
78673,I Think I Love My Wife,2007.0,,
78719,Saturday Night Fever,1977.0,,
78766,Snow White and the Seven Dwarfs,1937.0,,
78779,Not Another Happy Ending,2013.0,,
78799,The In-Laws,1979.0,,
78801,The Spy Next Door,2010.0,,
78804,The Shaggy Dog,2006.0,,
78807,Paparazzi,2004.0,,
78824,Psycho,2008.0,"Anthony Perkins, Janet Leigh, Vera Miles",Alfred Hitchcock
78854,Looney Tunes Super Stars' Bugs Bunny: Wascally Wabbit,,,
78869,Mom and Dad Save the World,1992.0,,
78874,Click,2006.0,,
78887,Saw VI,2009.0,,
78888,Eraser,1996.0,"Arnold Schwarzenegger, Vanessa Williams, James Caan",Chuck Russell
78925,Dusk to Dawn,1922.0,,
78926,Once Upon a Time in the West,1968.0,,
78929,The Adventures of Pinocchio,1996.0,,
78943,Man-Proof,1938.0,"Myrna Loy, Franchot Tone, Rosalind Russell",Richard Thorpe
78950,It's a Free World...,2007.0,,
78958,Norbit,2007.0,"Eddie Murphy, Thandiwe Newton, Terry Crews",Brian Robbins
78977,The Haunting,1999.0,,
79001,Outland,1981.0,,
79045,Thelma ,,,
79062,Alien,1979.0,,
79072,Bullets over Broadway,1994.0,"John Cusack, Dianne Wiest, Jennifer Tilly",Woody Allen
79106,Raging Bull,1980.0,,
79114,Uprising,2001.0,"Leelee Sobieski, Hank Azaria, David Schwimmer",Jon Avnet
79136,Dances with Wolves,1990.0,"Kevin Costner, Mary McDonnell, Graham Greene",Kevin Costner
79142,For a Few Dollars More,1965.0,,
79153,Oz the Great and Powerful,2013.0,,
79187,Giant,1956.0,,
79205,The Wild Geese,1978.0,"Richard Burton, Roger Moore, Richard Harris",Andrew V. McLaglen
79206,May,2002.0,,
79266,Absolutely Anything,2015.0,,
79278,West Side Story,1961.0,,
79284,Bitter Harvest,2016.0,,
79289,The Parent Trap,1961.0,"Lindsay Lohan, Dennis Quaid, Natasha Richardson",Nancy Meyers
79313,Open Season,2006.0,,
79320,Contact,2009.0,,
79341,The Other Sister,1999.0,,
79370,"The Way, Way Back",2013.0,,
79379,Chicken Little,2005.0,,
79385,Night of the Living Dead,1968.0,,
79401,Anatomy of a Murder,1959.0,,
79407,Mortal Kombat: Rebirth,2010.0,,
79408,Kubo and the Two Strings,2016.0,,
79421,Machete Kills,2013.0,"Danny Trejo, Alexa PenaVega, Mel Gibson",Robert Rodriguez
79429,Cannibal! The Musical,1993.0,"Trey Parker, Dian Bachar, Stephen Blackpool",Trey Parker
79439,Wild Thing,1987.0,,
79451,Predator ,,,
79464,The Tree of Life,2011.0,,
79468,Dragnet,1987.0,"Dan Aykroyd, Tom Hanks, Christopher Plummer",Tom Mankiewicz
79512,Monster House,2006.0,"Mitchel Musso, Sam Lerner, Spencer Locke",Gil Kenan
79543,Air Bud,1997.0,,
79553,The Disappearance of McKinley Nolan,2010.0,,
79665,Drag Me to Hell,2009.0,,
79689,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984.0,,
79698,The Hurt Locker,2008.0,,
79707,Fat Albert,2004.0,,
79743,The Last Boy Scout,1991.0,,
79750,China,2016.0,"Loretta Young, Alan Ladd, William Bendix",John Farrow
79752,8 Heads in a Duffel Bag,1997.0,,
79755,Bully,2001.0,,
79779,Gran Torino,2008.0,"Clint Eastwood, Bee Vang, Christopher Carley",Clint Eastwood
79811,Homeward Bound II: Lost in San Francisco,1996.0,,
79815,We're Back! A Dinosaur's Story,1993.0,,
79824,The Divergent Series: Insurgent,2015.0,,
79834,The Skeleton Key,2005.0,,
79851,The Mask,1988.0,"Jim Carrey, Cameron Diaz, Peter Riegert",Chuck Russell
79856,The Time Machine,2002.0,,
79863,The Bible: In the Beginning...,1966.0,,
79888,Puncture,2011.0,"Chris Evans, Mark Kassen, Vinessa Shaw","Adam Kassen, Mark Kassen"
79894,The Debt,2010.0,,
79924,The Gladiator,1986.0,"Ken Wahl, Nancy Allen, Robert Culp",Abel Ferrara
79935,Fifty Shades of Grey,2015.0,,
79945,Deranged,1974.0,,
79954,A Christmas Carol,2009.0,,
79968,Split,2017.0,,
79978,Bully,2011.0,"Brad Renfro, Nick Stahl, Bijou Phillips",Larry Clark
79989,Cinderella,1994.0,,
80009,The Amazing Spider-Man 2,2014.0,,
80014,Maverick,1994.0,,
80024,War of the Buttons,2011.0,,
80038,Lady in White,1988.0,,
80067,Toy Story,1995.0,,
80074,Home for Christmas,2010.0,"Dennis Storhøi, Ida Elise Broch, Hege Schøyen",N/A
80108,Can't Hardly Wait,,,
80131,Omen,2003.0,,
80133,Project A,1983.0,,
80178,Boy Wonder,2010.0,,
80188,Planes: Fire & Rescue,2014.0,,
80203,Boat Trip,2002.0,,
80208,The Devil Wears Prada,2006.0,,
80213,A Serious Man,2009.0,"Michael Stuhlbarg, Richard Kind, Sari Lennick","Ethan Coen, Joel Coen"
80235,Jennifer's Body,2009.0,,
80240,Annie,1982.0,,
80264,Zinda,2006.0,"Sanjay Dutt, John Abraham, Lara Dutta",Sanjay Gupta
80284,The Lion King II: Simba's Pride,1998.0,,
80289,Die ,,,
80306,The Creeper,1948.0,,
80325,Mission: Impossible ,,,
80336,Annie,2014.0,"Aileen Quinn, Albert Finney, Carol Burnett",John Huston
80429,Under the Shadow,2016.0,,
80442,Jaws in Japan,2009.0,"Nonami Takizawa, Airi Nakajima, Megumi Haruno, Jun Kanaki",John Hijiri
80446,F,2010.0,,
80448,Friday After Next,2002.0,,
80519,A Simple Plan,1998.0,,
80534,I Am Really Sorry,1976.0,,
80576,Dragonball Evolution,2009.0,,
80587,The Handmaiden,2016.0,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong",Park Chan-wook
80598,All's Faire in Love,2009.0,,
80603,Godzilla: Tokyo S.O.S.,2003.0,,
80649,Moses,1995.0,"Ben Kingsley, Frank Langella, David Suchet",Roger Young
80683,The Cat and the Kit,1925.0,,
80685,Sister Act,1992.0,,
80691,Wild,2016.0,"Reese Witherspoon, Laura Dern, Gaby Hoffmann",Jean-Marc Vallée
80699,Anaconda,1997.0,,
80716,Next of Kin,1989.0,,
80769,Boiler Room,2000.0,,
80811,Vengeance,1968.0,,
80865,Early Man ,,,
80886,"Good Morning, Vietnam",1987.0,"Robin Williams, Forest Whitaker, Tom T. Tran",Barry Levinson
80918,The Cave,2005.0,,
80966,Night Falls on Manhattan,1997.0,,
80981,The Great Beauty,2013.0,,
80985,Boo! A Madea Halloween,2016.0,"Tyler Perry, Cassi Davis, Patrice Lovely",Tyler Perry
81006,Police Academy ,,,
81024,Third Man on the Mountain,1959.0,,
81075,We're the Millers,2013.0,,
81078,Cube 2: Hypercube,2002.0,,
81080,How to Train Your Dragon 2,2014.0,,
81087,Holidays,2016.0,,
81108,X,1986.0,,
81135,It Comes at Night,2017.0,,
81162,Friday,1995.0,,
81165,Date with an Angel,1987.0,,
81196,The Pacifist,1970.0,,
81209,Freebie and the Bean,1974.0,,
81232,Religulous,2008.0,,
81234,S,2012.0,,
81265,Them!,1954.0,,
81296,Movie 43,2013.0,,
81307,Haunted Rooh,2016.0,,
81316,Johnny Be Good,1988.0,,
81317,Waiting for Forever,2010.0,"Rachel Bilson, Tom Sturridge, Richard Jenkins",James Keach
81353,Once Upon a Time in China ,,"Jet Li, Rosamund Kwan, Biao Yuen",Hark Tsui
81385,Fargo,1996.0,,
81415,The Mission,1986.0,"Robert De Niro, Jeremy Irons, Ray McAnally",Roland Joffé
81416,The Man in the Moon,1991.0,,
81432,A Serbian Film,2010.0,"Srdjan 'Zika' Todorovic, Sergej Trifunovic, Jelena Gavrilovic",Srdjan Spasojevic
81468,Annie,1976.0,"Aileen Quinn, Albert Finney, Carol Burnett",John Huston
81469,The Rise of the Krays,2015.0,,
81474,Captain Corelli's Mandolin,2001.0,,
81475,Triangle,2009.0,"Melissa George, Joshua McIvor, Jack Taylor",Christopher Smith
81492,Dinosaur,2000.0,,
81530,Black Beauty,1971.0,,
81559,Lego Marvel Super Heroes: Maximum Overload,2013.0,,
81563,Batman Returns,1992.0,,
81568,Flight,2012.0,"Denzel Washington, Nadine Velazquez, Don Cheadle",Robert Zemeckis
81617,The Purple Rose of Cairo,1985.0,,
81625,Expelled from Paradise,,,
81660,13 Going on 30,2004.0,"Jennifer Garner, Mark Ruffalo, Judy Greer",Gary Winick
81669,Life,2007.0,,
81702,Hall Pass,,,
81715,The Importance of Being Earnest,2002.0,"Rupert Everett, Colin Firth, Frances O'Connor",Oliver Parker
81748,"Red Firecracker, Green Firecracker",1994.0,,
81775,Never Say Die,1939.0,,
81792,Zootopia,,,
81805,Filth,2013.0,,
81819,Monster,2008.0,,
81860,Spirited Away,,,
81865,The Treasure of the Sierra Madre,1948.0,"Humphrey Bogart, Walter Huston, Tim Holt",John Huston
81878,A Quiet Place to Kill,1970.0,,
81881,Écoute voir,1979.0,,
81898,The Magnificent Nine,,,
81916,Son of Flubber,1963.0,,
81919,Miss You Already,2015.0,,
81968,Rocky Balboa,2006.0,"Sylvester Stallone, Antonio Tarver, Milo Ventimiglia",Sylvester Stallone
82001,The Prophecy,1995.0,,
82020,The Killer Inside Me,2010.0,,
82022,Perfume,2001.0,,
82029,Ruby Sparks,2012.0,,
82041,Prancer,1989.0,"Sam Elliott, Cloris Leachman, Rutanya Alda",John D. Hancock
82075,Cyborg X,,,
82087,Last Days in Vietnam,2014.0,"Richard Nixon, Henry Kissinger, Stuart Herrington",Rory Kennedy
82145,How to Steal a Million,1966.0,,
82153,Super Size Me,2004.0,,
82201,Julia's Eyes,2010.0,,
82233,Top Secret!,1984.0,,
82284,The Client,1994.0,,
82321,The Maltese Falcon,1941.0,,
82330,Wallace & Gromit: The Curse of the Were-Rabbit,2005.0,,
82346,Into Temptation,2009.0,,
82353,Memories of Murder,2003.0,,
82380,The Hidden,1987.0,,
82417,Wall Street,1987.0,,
82419,The French Connection,1971.0,,
82421,Coming Home,1978.0,"Jane Fonda, Jon Voight, Bruce Dern",Hal Ashby
82430,Devil's Knot,2013.0,,
82446,Something Wicked This Way Comes,1983.0,,
82467,New Jersey Drive,1995.0,,
82473,The Haunting in Connecticut,2009.0,"Virginia Madsen, Martin Donovan, Elias Koteas",Peter Cornwell
82476,What's Eating Gilbert Grape,1993.0,,
82484,Jacob and Esau ,,,
82497,MASH,1970.0,"Mark Wingett, Claire Goose, Jonathan Forbes",Tyro Heath
82536,Anonymous,2011.0,,
82537,Conviction,2010.0,,
82567,Hardcore Henry,2015.0,,
82569,The Wild Bunch,1969.0,"William Holden, Ernest Borgnine, Robert Ryan",Sam Peckinpah
82596,Psycho,1998.0,,
82602,The Goonies,1985.0,"Sean Astin, Josh Brolin, Jeff Cohen",Richard Donner
82631,My Super Ex-Girlfriend,,"Uma Thurman, Luke Wilson, Anna Faris",Ivan Reitman
82641,The Equalizer,2014.0,,
82650,Waco: A New Revelation,1999.0,,
82657,Into the Blue,2005.0,,
82756,Stuart Little,1999.0,,
82763,Death Race,2008.0,,
82766,The Star of Santa Clara,1958.0,,
82775,When We First Met,,,
82795,A Perfect World,1993.0,,
82808,Diary of a Wimpy Kid ,,,
82830,Miles Ahead,2015.0,,
82857,The Last Unicorn,1982.0,,
82858,Cannibal,2006.0,"Antonio de la Torre, Olimpia Melinte, María Alfonsa Rosso",Manuel Martín Cuenca
82871,Day of the Dead,1985.0,,
82876,Sex and the City 2,2010.0,,
82893,Cabin in the Sky,1943.0,,
82894,Frozen,2013.0,"Kristen Bell, Idina Menzel, Jonathan Groff","Chris Buck, Jennifer Lee"
82923,Minions,2015.0,,
82955,Heist,2015.0,,
82969,The Bear,1988.0,"Jeremy Allen White, Ebon Moss-Bachrach, Ayo Edebiri",N/A
82990,The Overnight,2015.0,,
83006,Day Watch,2006.0,,
83057,Scream 4,2011.0,,
83101,Free Fire,2016.0,"Sharlto Copley, Brie Larson, Armie Hammer",Ben Wheatley
83105,The Neon Demon,2016.0,,
83116,Can-Can,1960.0,,
83132,Final Destination 5,2011.0,,
83180,Acts of Worship,2001.0,"Ana Reeder, Michael Hyatt, Christopher Kadish",Rosemary Rodriguez
83192,What Lies Beneath,2000.0,,
83236,Ninja Scroll,1993.0,"Kôichi Yamadera, Emi Shinohara, Takeshi Aono",Yoshiaki Kawajiri
83243,The House,1983.0,"Will Ferrell, Amy Poehler, Ryan Simpkins",Andrew Jay Cohen
83274,It Could Happen to You,1994.0,,
83305,Haunted House,2004.0,,
83321,Jump,1999.0,,
83343,The 10th Kingdom,,"Kimberly Williams-Paisley, Scott Cohen, Dianne Wiest",N/A
83370,The Ruling Class,1972.0,"Peter O'Toole, Alastair Sim, Arthur Lowe",Peter Medak
83388,Sleeping Beauty,1959.0,,
83389,Ricochet,1991.0,,
83396,Thief,1981.0,"James Caan, Tuesday Weld, Willie Nelson",Michael Mann
83406,The Purge: Election Year,2016.0,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson",James DeMonaco
83430,Buffy the Vampire Slayer,1992.0,,
83436,The Thing,2011.0,"Kurt Russell, Wilford Brimley, Keith David",John Carpenter
83451,All About My Mother,1999.0,,
83472,A Walk to Remember,2002.0,,
83489,Over the Edge,1979.0,,
83539,The Bourne Identity,1988.0,,
83552,Jumanji,2017.0,"Robin Williams, Kirsten Dunst, Bonnie Hunt",Joe Johnston
83570,Night of Dark Shadows,1971.0,,
83582,Starcrash,1979.0,"Marjoe Gortner, Caroline Munro, Christopher Plummer",Luigi Cozzi
83586,The Amityville Horror,1979.0,,
83617,Kevin Hart: Let Me Explain,2013.0,"Kevin Hart, Harry Ratchford, Will 'Spank' Horton","Leslie Small, Tim Story"
83624,Harry and the Hendersons,1987.0,,
83655,Table 19,2017.0,"Anna Kendrick, Lisa Kudrow, Craig Robinson",Jeffrey Blitz
83675,The New Swiss Family Robinson,1998.0,"Jane Seymour, David Carradine, James Keach",Stewart Raffill
83716,Bananas,1971.0,,
83749,Five Shaolin Masters,1974.0,,
83757,Mr. Holland's Opus,1995.0,,
83766,Primal Fear,1996.0,"Richard Gere, Laura Linney, Edward Norton",Gregory Hoblit
83775,Showboy,2002.0,,
83789,Ella Enchanted,2004.0,,
83790,Europa Report,2013.0,,
83814,True Grit,2010.0,,
83853,Spanglish,2004.0,"Adam Sandler, Téa Leoni, Paz Vega",James L. Brooks
83896,My Big Love,2008.0,,
83905,The Central Park Five,2012.0,"Antron McCray, Kevin Richardson, Kharey Wise","Ken Burns, Sarah Burns, David McMahon"
83947,Strange Circus,2005.0,,
83948,Hancock,2008.0,"Will Smith, Charlize Theron, Jason Bateman",Peter Berg
83951,Steel Magnolias,2012.0,,
83976,The Magnificent Seven,1960.0,"Denzel Washington, Chris Pratt, Ethan Hawke",Antoine Fuqua
84001,Donnie Darko,2001.0,,
84003,127 Hours,2010.0,,
84007,Castaway,1986.0,,
84009,Speed Racer,2008.0,"Emile Hirsch, Matthew Fox, Christina Ricci","Lana Wachowski, Lilly Wachowski"
84026,Sleeping Beauty,1995.0,,
84028,The Man Who Knew Too Much,1956.0,,
84036,Hannibal,1959.0,,
84097,Charlotte's Web,2006.0,,
84100,Tank,1984.0,,
84153,Slap Shot,1977.0,,
84195,Cloverfield ,,,
84201,Hiding Out,1987.0,"Jon Cryer, Keith Coogan, Annabeth Gish",Bob Giraldi
84248,The City of Lost Children,1995.0,,
84269,Houseguest,1995.0,,
84273,Pineapple Express,2008.0,,
84310,Justice League: Gods and Monsters,2015.0,,
84332,The Wizard,1989.0,,
84339,Instructions Not Included,2013.0,,
84363,Paranormal Activity 2,2010.0,,
84379,Mickey's Magical Christmas: Snowed in at the House of Mouse,,,
84387,Before I Fall,2017.0,,
84411,Tunisian Victory,,,
84422,Ghost Rider,2007.0,"Nicolas Cage, Eva Mendes, Sam Elliott",Mark Steven Johnson
84434,Heaven & Earth,1993.0,,
84436,Godfather,2007.0,,
84456,Girlfight,2000.0,,
84473,Diva,1981.0,,
84488,First Kill,2001.0,,
84517,The Long Voyage Home,1940.0,,
84524,Smiley,2012.0,,
84553,Fist of Fury ,,,
84561,Swimfan,2002.0,,
84571,The Human Centipede 3,2015.0,,
84597,Alien 2: On Earth,1980.0,"Belinda Mayne, Mark Bodin, Roberto Barrese","Ciro Ippolito, Biagio Proietti"
84704,The Wedding Game,2009.0,,
84710,Jobs,2013.0,,
84766,Flatliners,2017.0,,
84769,Birdman,2014.0,,
84772,Solitary Man,2009.0,,
84779,The Triplets of Belleville,2003.0,"Michèle Caucheteux, Jean-Claude Donda, Michel Robin",Sylvain Chomet
84788,Manos: The Hands of Fate,1966.0,,
84798,Pretty Woman,1990.0,,
84823,Noel,2004.0,,
84828,Two Weeks Notice,,,
84831,It,1966.0,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard",Andy Muschietti
84837,Vertigo,1958.0,,
84839,Dracula 2012,2013.0,"Thilakan, Shraddha Das, Monal Gajjar",Vinayan
84847,The Secret in Their Eyes,2009.0,,
84853,Shaft,2000.0,,
84854,Beauty and the Beast,2017.0,,
84875,The To Do List,2013.0,,
84903,Futurama: Bender's Big Score,,,
84907,Guys and Dolls,1955.0,,
84953,Heidi,1965.0,,
84974,Adventures of Captain Marvel,1941.0,,
85003,Simon Birch,1998.0,,
85036,The Matrix,1999.0,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Lana Wachowski, Lilly Wachowski"
